Ações por Índice
Dados de 1 a 4 de 2024
Empresa;Código;Índices dos quais participa
3M;DRN;MMMC34;BDRX;
3R PETROLEUM;ON   NM;RRRP3;GPTW,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL;
3TENTOS;ON   NM;TTEN3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
ABBVIE;DRN;ABBV34;BDRX;
ABC BRASIL;PN   N2;ABCB4;IBRA,IDIV,IFNC,IGCT,IGCX,ITAG,SMLL;
ADOBE INC;DRN;ADBE34;BDRX;
ADVANCED MIC;DRN;A1MD34;BDRX;
AES BRASIL;ON   NM;AESB3;IBRA,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL;
AGROGALAXY;ON   NM;AGXY3;IGCX,IGNM,ITAG;
AIRBNB;DRN;AIRB34;BDRX;
ALBEMARLE CO;DRN;A1LB34;BDRX;
ALIBABAGR;DRN;BABA34;BDRX;
ALLIAR;ON   NM;AALR3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
ALLIED;ON   NM;ALLD3;IGCX,IGNM,ITAG;
ALLOS;ON   NM;ALOS3;IBOV,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,IMOB,ISEE,ITAG,IVBX,SMLL;
ALPARGATAS;ON   N1;ALPA3;IGCX;
ALPARGATAS;PN   N1;ALPA4;IBOV,IBRA,IBXX,ICON,IGCT,IGCX,INDX,SMLL;
ALPER S.A.;ON;APER3;ITAG;
ALPHABET;DRN;GOGL34;BDRX;
ALPHABET;DRN;GOGL35;BDRX;
ALPHAVILLE;ON   NM;AVLL3;IGCX,IGNM,ITAG;
ALUPAR;UNT  N2;ALUP11;IBRA,IDIV,IEEX,IGCT,IGCX,ITAG,SMLL,UTIL;
AMAZON;DRN;AMZO34;BDRX;
